PACKAGE,REPO,DESCRIPTION
arandr,PACMAN,"A front-end for xrandr"
autorandr,PACMAN,"Auto-detect connected display hardware and load appropiate X11 setup using xrandr"
bash-completion,PACMAN,"Completion for bash"
blueman,PACMAN,"GTK+ Bluetooth Manager"
bluez,PACMAN,"Daemons for the bluetooth protocol stack"
bluez-utils,PACMAN,"Development and debugging utilities for the bluetooth protocol stack"
calibre,PACMAN,"Ebook management application"
clipmenu,PACMAN,"Clipboard management using dmenu"
cronie,PACMAN,"Daemon that runs specified programs at scheduled times and related tools"
discord,PACMAN,"Discord"
dunst,PACMAN,"Notification daemon"
element-desktop,PACMAN,"Matrix desktop client"
exa,PACMAN,"Colorful ls"
firefox,PACMAN,"Web browser"
flameshot,PACMAN,"Screenshot software"
flat-remix-gtk,PACMAN,"A GTK theme"
fzf,PACMAN,"Command-line fuzzy finder"
gimp,PACMAN,"Image editor"
git,PACMAN,"A version control system"
gzip,PACMAN,"GNU compression utility"
htim,PACMAN,"Interactive process viewer (htop with vim key bindings)"
libreoffice-fresh,PACMAN,"A word processor"
libxft-bgra,PACMAN,"For color emoji to work in suckless utilities"
lxappearance,PACMAN,"GTK theme switcher"
man-db,PACMAN,"Manual pages"
monero,PACMAN,"A peer-to-peer currency"
neovim,PACMAN,"Fork of Vim aiming to improve user experience, plugins, and GUIs"
network-manager-applet,PACMAN,"Applet for managing network connections"
networkmanager,PACMAN,"Network connection manager and user applications"
newsboat,PACMAN,"An RSS/Atom feed reader for text terminals"
nm-connection-editor,PACMAN,"NetworkManager GUI connection editor and widgets"
nodejs,PACMAN,"Needed for language servers"
notification-daemon,PACMAN,"Server implementation of the freedesktop.org desktop notification specification"
noto-fonts,PACMAN,"Google Noto TTF fonts"
ntfs-3g,PACMAN,"NTFS filesystem driver and utilities"
opendoas,PACMAN,"Run commands as super user or another user"
otf-font-awesome,PACMAN,"Font for statusbar icons"
p7zip,PACMAN,"Command-line file archiver with high compression ratio"
pavucontrol,PACMAN,"Graphical PulseAudio volume control"
pulseaudio-bluetooth,PACMAN,"Bluetooth support for PulseAudio"
pulsemixer,PACMAN,"CLI and curses mixer for pulseaudio"
python-pip,PACMAN,"The PyPA recommended tool for installing Python packages"
rsync,PACMAN,"A fast and versatile file copying tool for remote and local files"
sdcv,PACMAN,"StarDict Console Version"
signal-desktop,PACMAN,"Desktop client for Signal messenger"
stardict,PACMAN,"International dictionary software"
stow,PACMAN,"To manage dotfiles"
sudo,PACMAN,"Give certain users the ability to run some commands as root"
sxhkd,PACMAN,"Shortcut manager for X"
sxiv,PACMAN,"Image viewer"
syncthing,PACMAN,"Open Source Continuous Replication / Cluster Synchronization Thing"
texlive-most,PACMAN,""
thunderbird,PACMAN,"Graphical email client"
tmux,PACMAN,"Terminal multiplexer"
torbrowser-launcher,PACMAN,"Tor Browser"
transmission-gtk,PACMAN,"Graphical BitTorent client"
ttf-fira-code,PACMAN,"Monospaced font with programming ligatures"
ttf-twemoji,AUR,"Twitter emoji"
tutanota-desktop-bin,PACMAN,"The desktop client of Tutanota mail service"
udiskie,PACMAN,"Removable disk automounter using udisks"
unrar,PACMAN,"The RAR uncompression program"
unzip,PACMAN,"For extracting and viewing files in .zip archives"
vlc,PACMAN,"Graphical video player"
vscodium-git,PACMAN,"Visual Studio Code without non-free parts"
wget,PACMAN,"Network utility to retrieve files from the Web"
xclip,PACMAN,"Command line interface to the X11 clipboard"
xcompmgr,PACMAN,"For transparency"
xf86-input-libinput,PACMAN,"Generic input driver for the X.Org server based on libinput"
xf86-video-intel,PACMAN,"Video drivers"
xidlehook-git,AUR,"xautolock rewrite in Rust, with a few extra features"
xorg-server,PACMAN,"Xorg X server"
xorg-xbacklight,PACMAN,"RandR-based backlight control application"
xorg-xev,PACMAN,"Print contents of X events"
xorg-xinit,PACMAN," X.Org initialisation program"
xwallpaper,PACMAN,"Set image files as your X wallpaper"
yay,PACMAN,"Pacman wrapper and AUR helper written in go."
youtube-dl,PACMAN,"A command-line program to download videos from YouTube.com and a few more sites"
zathura,PACMAN,"Minimalistic document viewer"
zathura-pdf-mupdf,PACMAN,"PDF support for Zathura (MuPDF backend) (Supports PDF, ePub, and OpenXPS)"
zip,PACMAN,"Compressor/archiver for creating and modifying zipfiles"
zsh,PACMAN,"A very advanced and programmable command interpreter (shell) for UNIX"
zsh-syntax-highlighting,PACMAN,"Fish shell like syntax highlighting for Zsh"
zsh-theme-powerlevel10k,PACMAN,"Powerlevel10k is a theme for Zsh. It emphasizes speed, flexibility and out-of-the-box experience."
passhole,PIP,"A commandline password manager for KeePass inspired by pass."
